clip_id,label,file_path,camera_index,fps,frame_count,width,height,clip_seconds,recorded_at
no_sign_20260330_224214_001,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224214_001.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:42:15
no_sign_20260330_224230_002,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224230_002.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:42:31
no_sign_20260330_224245_003,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224245_003.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:42:46
no_sign_20260330_224301_004,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224301_004.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:43:02
no_sign_20260330_224316_005,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224316_005.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:43:18
no_sign_20260330_224332_006,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224332_006.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:43:33
no_sign_20260330_224348_007,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224348_007.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:43:49
no_sign_20260330_224403_008,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224403_008.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:44:05
no_sign_20260330_224419_009,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224419_009.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:44:20
no_sign_20260330_224441_010,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224441_010.mp4,0,20.00,400,1280,720,20.00,2026-03-30 22:44:42
no_sign_20260330_224443_011,no_sign,C:\Users\qqq02\Desktop\99_docs_analysis\datasets\recorded\webcam_30_words\no_sign\no_sign_20260330_224443_011.mp4,0,20.00,2,1280,720,0.10,2026-03-30 22:44:43
