sentence_id,goal,gloss,token_count,tokens_json,source_clips_json,output_video,fps,frame_count,width,height,source_frame_counts_json,grammar_note
sentence_001,日常需求,TODAY I WANT FOOD,4,"[""today"", ""i"", ""want"", ""food""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\today\\70346.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28557.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62241.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\food\\22746.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_001__today_i_want_food.mp4,26.25,264,480,320,"[104, 23, 50, 81]",時間前置，需求句保持簡潔。
sentence_002,日常需求,TODAY YOU WANT FOOD,4,"[""today"", ""you"", ""want"", ""food""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\today\\58679.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64381.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62245.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\food\\22743.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_002__today_you_want_food.mp4,28.74,296,480,320,"[70, 63, 72, 85]",時間前置，需求句保持簡潔。
sentence_003,日常需求,TODAY STUDENT WANT BOOK,4,"[""today"", ""student"", ""want"", ""book""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\today\\70346.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55345.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62244.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\70212.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_003__today_student_want_book.mp4,27.49,379,480,320,"[104, 87, 82, 100]",時間前置，需求句保持簡潔。
sentence_004,日常需求,TOMORROW I WANT FOOD,4,"[""tomorrow"", ""i"", ""want"", ""food""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tomorrow\\58811.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28557.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62241.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\food\\22743.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_004__tomorrow_i_want_food.mp4,26.24,243,480,320,"[79, 23, 50, 85]",時間前置，需求句保持簡潔。
sentence_005,日常需求,TOMORROW YOU WANT BOOK,4,"[""tomorrow"", ""you"", ""want"", ""book""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tomorrow\\58807.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64381.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62253.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\70212.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_005__tomorrow_you_want_book.mp4,28.73,304,480,320,"[58, 63, 77, 100]",時間前置，需求句保持簡潔。
sentence_006,日常需求,TOMORROW MOTHER WANT FOOD,4,"[""tomorrow"", ""mother"", ""want"", ""food""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tomorrow\\58804.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36938.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62246.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\food\\70058.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_006__tomorrow_mother_want_food.mp4,27.49,275,480,320,"[37, 83, 75, 74]",時間前置，需求句保持簡潔。
sentence_007,詢問想吃什麼,TODAY YOU WANT EAT WHAT,5,"[""today"", ""you"", ""want"", ""eat"", ""what""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\today\\58683.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64381.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62251.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\eat\\18329.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\what\\62944.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,28.98,226,480,320,"[34, 63, 38, 50, 33]",時間前置，疑問詞 what 置尾。
sentence_008,詢問想吃什麼,TOMORROW YOU WANT EAT WHAT,5,"[""tomorrow"", ""you"", ""want"", ""eat"", ""what""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tomorrow\\58806.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64385.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62248.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\eat\\18329.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\what\\62965.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,29.97,311,480,320,"[77, 51, 51, 50, 74]",時間前置，疑問詞 what 置尾。
sentence_009,詢問想吃什麼,TODAY I WANT EAT WHAT,5,"[""today"", ""i"", ""want"", ""eat"", ""what""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\today\\58679.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62244.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\eat\\18323.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\what\\62970.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,28.99,388,480,320,"[70, 53, 82, 87, 88]",時間前置，疑問詞 what 置尾。
sentence_010,詢問想吃什麼,TOMORROW STUDENT WANT EAT WHAT,5,"[""tomorrow"", ""student"", ""want"", ""eat"", ""what""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tomorrow\\58805.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55341.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\want\\62248.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\eat\\18329.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\what\\62944.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,28.99,307,480,320,"[90, 75, 51, 50, 33]",時間前置，疑問詞 what 置尾。
