sentence_id,word_index,token,clip_path,source_sentence_video,frame_start,frame_end_exclusive,core_frame_start,core_frame_end_exclusive,fps,frame_count
sentence_001,1,today,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\today\sentence_001_w01_today.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_001__today_i_want_food.mp4,0,105,0,104,26.25,105
sentence_001,2,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_001_w02_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_001__today_i_want_food.mp4,105,130,106,129,26.25,25
sentence_001,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_001_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_001__today_i_want_food.mp4,130,182,131,181,26.25,52
sentence_001,4,food,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\food\sentence_001_w04_food.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_001__today_i_want_food.mp4,182,264,183,264,26.25,82
sentence_002,1,today,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\today\sentence_002_w01_today.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_002__today_you_want_food.mp4,0,71,0,70,28.74,71
sentence_002,2,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_002_w02_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_002__today_you_want_food.mp4,71,136,72,135,28.74,65
sentence_002,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_002_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_002__today_you_want_food.mp4,136,210,137,209,28.74,74
sentence_002,4,food,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\food\sentence_002_w04_food.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_002__today_you_want_food.mp4,210,296,211,296,28.74,86
sentence_003,1,today,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\today\sentence_003_w01_today.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_003__today_student_want_book.mp4,0,105,0,104,27.49,105
sentence_003,2,student,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\student\sentence_003_w02_student.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_003__today_student_want_book.mp4,105,194,106,193,27.49,89
